"","","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Croatia"," 2015","77.6","74.3","80.7","21.0","18.6","23.2"
"Croatia"," 2010","76.7","73.4","79.9","20.4","18.1","22.4"
"Croatia"," 2000","74.4","70.7","77.9","19.0","16.7","20.9"
"Cuba"," 2019","77.8","75.4","80.3","21.6","20.0","23.2"
"Cuba"," 2015","77.9","75.7","80.2","21.8","20.3","23.2"
"Cuba"," 2010","77.7","75.5","79.8","21.5","20.1","22.9"
"Cuba"," 2000","76.8","74.6","79.0","21.6","20.2","23.0"
"Cyprus"," 2019","83.1","81.1","85.1","24.9","23.3","26.4"
"Cyprus"," 2015","82.0","79.9","84.1","24.2","22.6","25.6"
"Cyprus"," 2010","81.0","78.9","83.1","23.5","22.2","24.8"
"Cyprus"," 2000","78.7","76.5","81.0","21.9","20.4","23.2"
"Czechia"," 2019","79.1","76.3","81.9","22.1","19.9","24.0"
"Czechia"," 2015","78.5","75.6","81.3","21.5","19.3","23.4"
"Czechia"," 2010","77.6","74.4","80.7","21.0","18.8","23.0"
"Czechia"," 2000","75.0","71.5","78.3","19.3","17.0","21.3"
"Democratic People's Republic of Korea"," 2019","72.6","69.3","75.7","19.1","16.8","20.8"
"Democratic People's Republic of Korea"," 2015","71.8","68.4","74.8","18.6","16.3","20.2"
"Democratic People's Republic of Korea"," 2010","70.2","66.9","73.1","18.0","15.8","19.5"
"Democratic People's Republic of Korea"," 2000","64.0","60.8","66.8","15.5","13.5","16.8"
"Democratic Republic of the Congo"," 2019","62.4","60.0","64.8","16.6","15.4","17.9"
"Democratic Republic of the Congo"," 2015","60.4","58.3","62.7","16.2","14.9","17.5"
"Democratic Republic of the Congo"," 2010","57.5","55.6","59.4","15.5","14.1","16.8"
"Democratic Republic of the Congo"," 2000","52.4","50.5","54.5","14.9","13.3","16.4"
"Denmark"," 2019","81.3","79.6","83.0","23.6","22.3","24.9"
"Denmark"," 2015","80.6","78.8","82.4","23.2","21.8","24.5"
"Denmark"," 2010","79.2","77.2","81.1","22.2","20.8","23.5"
"Denmark"," 2000","76.9","74.7","79.1","20.6","19.0","22.1"
"Djibouti"," 2019","65.8","64.1","67.8","17.8","16.6","19.0"
"Djibouti"," 2015","64.6","62.8","66.6","17.5","16.3","18.7"
"Djibouti"," 2010","61.9","60.6","63.3","17.1","15.8","18.4"
"Djibouti"," 2000","59.8","57.9","62.0","16.3","14.9","17.7"
"Dominican Republic"," 2019","72.8","69.8","76.2","20.6","19.0","22.4"
"Dominican Republic"," 2015","71.8","68.6","75.2","20.2","18.6","22.0"
"Dominican Republic"," 2010","73.2","70.4","76.1","21.4","20.0","22.9"
"Dominican Republic"," 2000","73.2","70.2","76.7","22.4","20.7","24.4"
